Category,Resume
Data Science,"Skills * Programming Languages: Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery. * Machine learning: Regression, SVM, NaÃ¯ve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling (LDA, NMF), PCA & Neural Nets. * Database Visualizations: Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3.js, DC.js, Plotly, kibana, matplotlib, ggplot, Tableau. * Others: Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision - Open CV and understanding of Deep learning.Education Details 

Data Science Assurance Associate 

Data Science Assurance Associate - Ernst & Young LLP
Skill Details 
JAVASCRIPT- Experience - 24 months
jQuery- Experience - 24 months
Python- Experience - 24 monthsCompany Details 
company - Ernst & Young LLP
description - Fraud Investigations and Dispute Services   Assurance
TECHNOLOGY ASSISTED REVIE
TAR (Technology Assisted Revie) assists in accelerating the revie process and run analytics and generate reports.
* Core member of a team helped in developing automated revie platform tool from scratch for assisting E discovery domain, this tool implements predictive coding and topic modelling by automating revies, resulting in reduced labor costs and time spent during the layers revie.
* Understand the end to end flo of the solution, doing research and development for classification models, predictive analysis and mining of the information present in text data. orked on analyzing the outputs and precision monitoring for the entire tool.
* TAR assists in predictive coding, topic modelling from the evidence by folloing EY standards. Developed the classifier models in order to identify ""red flags"" and fraud-related issues.

Tools & Technologies: Python, scikit-learn, tfidf, ord2vec, doc2vec, cosine similarity, NaÃ¯ve Bayes, LDA, NMF for topic modelling, Vader and text blob for sentiment analysis. Matplot lib, Tableau dashboard for reporting.

MULTIPLE DATA SCIENCE AND ANALYTIC PROJECTS (USA CLIENTS)
TEXT ANALYTICS - MOTOR VEHICLE CUSTOMER REVIE DATA * Received customer feedback survey data for past one year. Performed sentiment (Positive, Negative & Neutral) and time series analysis on customer comments across all 4 categories.
* Created heat map of terms by survey category based on frequency of ords * Extracted Positive and Negative ords across all the Survey categories and plotted ord cloud.
* Created customized tableau dashboards for effective reporting and visualizations.
CHATBOT * Developed a user friendly chatbot for one of our Products hich handle simple questions about hours of operation, reservation options and so on.
* This chat bot serves entire product related questions. Giving overvie of tool via QA platform and also give recommendation responses so that user question to build chain of relevant anser.
* This too has intelligence to build the pipeline of questions as per user requirement and asks the relevant /recommended questions.

Tools & Technologies: Python, Natural language processing, NLTK, spacy, topic modelling, Sentiment analysis, ord Embedding, scikit-learn, JavaScript/JQuery, SqlServer

INFORMATION GOVERNANCE
Organizations to make informed decisions about all of the information they store. The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk.
* Scan data from multiple sources of formats and parse different file formats, extract Meta data information, push results for indexing elastic search and created customized, interactive dashboards using kibana.
* Preforming ROT Analysis on the data hich give information of data hich helps identify content that is either Redundant, Outdated, or Trivial.
* Preforming full-text search analysis on elastic search ith predefined methods hich can tag as (PII) personally identifiable information (social security numbers, addresses, names, etc.) hich frequently targeted during cyber-attacks.
Tools & Technologies: Python, Flask, Elastic Search, Kibana

FRAUD ANALYTIC PLATFORM
Fraud Analytics and investigative platform to revie all red flag cases.
 FAP is a Fraud Analytics and investigative platform ith inbuilt case manager and suite of Analytics for various ERP systems.
* It can be used by clients to interrogate their Accounting systems for identifying the anomalies hich can be indicators of fraud by running advanced analytics
Tools & Technologies: HTML, JavaScript, SqlServer, JQuery, CSS, Bootstrap, Node.js, D3.js, DC.js"


Data Science,"Skills  R  Python  SAP HANA  Tableau  SAP HANA SQL  SAP HANA PAL  MS SQL  SAP Lumira  C#  Linear Programming  Data Modelling  Advance Analytics  SCM Analytics  Retail Analytics Social Media Analytics  NLP Education Details 
January 2017 to January 2018 PGDM Business Analytics  Great Lakes Institute of Management & Illinois Institute of Technology
January 2013 Bachelor of Engineering Electronics and Communication Bengaluru, Karnataka Ne Horizon College of Engineering, Bangalore Visvesvaraya Technological University
Data Science Consultant 

Consultant - Deloitte USI
Skill Details 
LINEAR PROGRAMMING- Experience - 6 months
RETAIL- Experience - 6 months
RETAIL MARKETING- Experience - 6 months
SCM- Experience - 6 months
SQL- Experience - Less than 1 year months
Deep Learning- Experience - Less than 1 year months
Machine learning- Experience - Less than 1 year months
Python- Experience - Less than 1 year months
R- Experience - Less than 1 year monthsCompany Details 
company - Deloitte USI
description - The project involved analysing historic deals and coming ith insights to optimize future deals.
Role: as given ra data, carried out end to end analysis and presented insights to client.
Key Responsibilities:
 Extract data from client systems across geographies.
 Understand and build reports in tableau. Infer meaningful insights to optimize prices and find out process blockades.
Technical Environment: R, Tableau.

Industry: Cross Industry
Service Area: Cross Industry - Products
Project Name: Handriting recognition
Consultant: 3 months.
The project involved taking handritten images and converting them to digital text images by object detection and sentence creation.
Role: I as developing sentence correction functionality.
Key Responsibilities:
 Gather data large enough to capture all English ords
 Train LSTM models on ords.
Technical Environment: Python.

Industry: Finance
Service Area: Financial Services - BI development Project Name: SIFT
Consultant: 8 months.
The project as to develop an analytics infrastructure on top of SAP S/4, it ould user to vie
financial reports to respective departments. Reporting also included forecasting expenses.
Role: I as leading the offshore team.
Key Responsibilities:
 Design & Develop data models for reporting.
 Develop ETL for data flo
 Validate various reports.
Technical Environment: SAP HANA, Tableau, SAP AO.

Industry: Healthcare Analytics
Service Area: Life Sciences - Product development Project Name: Clinical Healthcare System
Consultant: 2 months.
The project as to develop an analytics infrastructure on top of Argus, it ould allo users to query faster and provide advance analytics capabilities.
Role: I as involved from design to deploy phase, performed a lot of data restructuring and built
models for insights.
Key Responsibilities:
 Design & Develop data models for reporting.
 Develop and deploy analytical models.
 Validate various reports.
Technical Environment: Data Modelling, SAP HANA, Tableau, NLP.

Industry: FMCG
Service Area: Trade & Promotion
Project Name: Consumption Based Planning for Floers Foods Consultant; 8 months.
The project involved setting up of CRM and CBP modules.
Role: I as involved in key data decomposition activities and setting up the base for future year
forecast. Over the course of the project I developed various models and carried out key
performance improvements.
Key Responsibilities:
 Design & Develop HANA models for decomposition.
 Develop data flo for forecast.
 Developed various vies for reporting of Customer/Sales/Funds.
 Validate various reports in BOBJ.
Technical Environment: Data Modelling, SAP HANA, BOBJ, Time Series Forecasting.

Internal Initiative Industry: FMCG
Customer Segmentation and RFM analysis Consultant; 3 months.
The initiative involved setting up of HANA-Python interface and advance analytics on Python. Over the course I had successfully segmented data into five core segments using K-means and carried out RFM analysis in Python. Also developed algorithm to categorize any ne customer under the defined buckets.
Technical Environment: Anaconda3, Python3.6, HANA SPS12

Industry: Telecom Invoice state detection Consultant; 1 months.
The initiative as to reduce the manual effort in verifying closed and open invoices manually, it
involved development to a decision tree to classify open/closed invoices. This enabled effort
reduction by 60%.
Technical Environment: R, SAP PAL, SAP HANA SPS12

Accenture Experience
Industry: Analytics - Cross Industry
In Process Analytics for SAP Senior Developer; 19 months.
Accenture Solutions Pvt. Ltd., India
The project involved development of SAP analytics tool - In Process Analytics (IPA) . My role as to develop database objects and data models to provide operational insights to clients.
Role: I have developed various Finance related KPIs and spearheaded various deployments.
Introduced SAP Predictive analytics to reduce development time and reuse functionalities for KPIs and prepared production planning reports.
Key Responsibilities:
 Involved in information gather phase.
 Designed and implemented SAP HANA data modelling using Attribute Vie, Analytic Vie, and
Calculation Vie.
 Developed various KPI's individually using complex SQL scripts in Calculation vies.
 Created procedures in HANA Database.
 Took onership and developed Dashboard functionality.
 Involved in building data processing algorithms to be executed in R server for cluster analysis.
Technical Environment: R, SAP HANA, T-SQL.
Industry: Cross Industry
Accenture Testing Accelerator for SAP Database Developer; 21 months.
Accenture Solutions Pvt. Ltd., India
Role: I have taken care of all development activities for the ATAS tool and have also completed
various deployments of the product.
Apart from these activities I as also actively involved in maintenance of the database servers
(Production & Quality)
Key Responsibilities:
 Analyzing business requirements, understanding the scope, getting requirements clarified
interacting ith business and further transform all requirements to generate attribute
mapping documents and revieing mapping specification documentation
 Create / Update database objects like tables, vies, stored procedures, function, and packages
 Monitored SQL Server Error Logs and Application Logs through SQL Server Agent
 Prepared Data Flo Diagrams, Entity Relationship Diagrams using UML
 Responsible for Designing, developing and Normalization of database tables
 Experience in performance tuning using SQL profiler.
 Involved in QA, UAT, knoledge transfer and support activities
Technical Environment: SQL Server 2008/2014, Visual Studio 2010, indos Server, Performance
Monitor, SQL Server Profiler, C#, PL-SQL, T-SQL."


Data Science,"Education Details 
May 2013 to May 2017 B.E   UIT-RGPV
Data Scientist 

Data Scientist - Matelabs
Skill Details 
Python- Experience - Less than 1 year months
Statsmodels- Experience - 12 months
AS- Experience - Less than 1 year months
Machine learning- Experience - Less than 1 year months
Sklearn- Experience - Less than 1 year months
Scipy- Experience - Less than 1 year months
Keras- Experience - Less than 1 year monthsCompany Details 
company - Matelabs
description - ML Platform for business professionals, dummies and enthusiasts.
60/A Koramangala 5th block,
Achievements/Tasks behind sukh sagar, Bengaluru,
India                               Developed and deployed auto preprocessing steps of machine learning mainly missing value
treatment, outlier detection, encoding, scaling, feature selection and dimensionality reduction.
Deployed automated classification and regression model.
linkedin.com/in/aditya-rathore-
b4600b146                           Reasearch and deployed the time series forecasting model ARIMA, SARIMAX, Holt-inter and
Prophet.
orked on meta-feature extracting problem.
github.com/rathorology
Implemented a state of the art research paper on outlier detection for mixed attributes.
company - Matelabs
description - "


Data Science,"Education Details 
 B.Tech   Rayat and Bahra Institute of Engineering and Biotechnology
Data Science 

Data Science
Skill Details 
Numpy- Experience - Less than 1 year months
Machine Learning- Experience - Less than 1 year months
Tensorflo- Experience - Less than 1 year months
Scikit- Experience - Less than 1 year months
Python- Experience - Less than 1 year months
GCP- Experience - Less than 1 year months
Pandas- Experience - Less than 1 year months
Neural Netork- Experience - Less than 1 year monthsCompany Details 
company - wipro
description - Bhaana w
E-Mail:bhaana.chd@gmail.com
Phone: 09876971076
VVersatile, high-energy professional targeting challenging assignments in Machine
PROFILE SUMMARY
 An IT professional ith knoledge and experience of 2 years in wipro Technologies in Machine
Learning, Deep Learning, Data Science, Python, Softare Development.
 Skilled in managing end-to-end development and softare products / projects from inception, requirement
specs, planning, designing, implementation, configuration and documentation.
 Knoledge on Python , Machine Learning, Deep Learning, data Science, Algorithms, Neural Netork,
NLP, GCP.
 Knoledge on Python Libraries like Numpy, Pandas, Seaborn , Matplotlib, Cufflinks.
 Knoledge on different algorithms in Machine learning like KNN, Decision Tree, Bias variance Trade off,
Support vector Machine(SVM),Logistic Regression, Neural netorks.
 Have knoledge on unsupervised, Supervised and reinforcement data.
 Programming experience in relational platforms like MySQL,Oracle.
 Have knoledge on Some programming language like C++,Java.
 Experience in cloud based environment like Google Cloud.
 orking on different Operating System like Linux, Ubuntu, indos.
 Good interpersonal and communication skills.
 Problem solving skills ith the ability to think laterally, and to think ith a medium term and long term
perspective
 Flexibility and an open attitude to change.
 Ability to create, define and on frameorks ith a strong emphasis on code reusability.
TECHNICAL SKILLS
Programming Languages Python, C
Libraries Seaborn, Numpy, Pandas, Cufflinks, Matplotlib
Algorithms
KNN, Decision Tree, Linear regression, Logistic Regression, Neural Netorks, K means clustering,
Tensorflo, SVM
Databases SQL, Oracle
Operating Systems Linux, indo
Development Environments NetBeans, Notwebooks, Sublime
Ticketing tools Service No, Remedy
Education
UG Education:
B.Tech (Computer Science) from Rayat and Bahra Institute of Engineering and Biotechnology passed ith 78.4%in
2016.
Schooling:
XII in 2012 from Moti Ram Arya Sr. Secondary School(Passed ith 78.4%)
X in 2010 from Valley Public School (Passed ith 9.4 CGPA)
ORK EXPERINCE
Title : wipro Neural Intelligence Platform
Team Size : 5
Brief: wipro's Neural Intelligence Platform harnesses the poer of automation and artificial intelligence
technologies: natural language processing (NLP), cognitive, machine learning, and analytics. The platform
comprises three layers: a data engagement platform that can easily access and manage multiple structured and
unstructured data sources; an  intent assessment and reasoning  engine that includes sentiment and predictive
analytics; and a deep machine learning engine that can sense, act, and learn over time. The project entailed
automating responses to user queries at the earliest. The Monster Bot using the poer of Deep Machine Learning,
NLP to handle such queries. User can see the ho their queries can be ansered quickly like allL1 activities can be
eliminated.
Entity Extractor -> This involves text extraction and NLP for fetching out important information from the text like
dates, names, places, contact numbers etc. This involves Regex, Bluemix NLU api's and machine learning using
Tensor flo for further learning of ne entities.
Classifier ->This involves the classifications of classes, training of dataset and predicting the output using the SKLearn
classifier (MNB, SVM, SGD as Classifier) and SGD for the optimization to map the user queries ith the best
suited response and make the system efficient.
NER: A Deep Learning NER Model is trained to extract the entities from the text. Entities like Roles, Skills,
Organizations can be extracted from ra text. RNN(LSTM) Bidirectional model is trained for extracting such entities
using Keras TensorFlo frameork.
OTHER PROJECTS
Title : Diabetes Detection
Brief : Developed the softare hich can detect hether the person is suffering from Diabetes or not and got the third
prize in it.
TRAINING AND CERTIFICATIONS
Title: Python Training, Machine Learning, Data Science, Deep Learning
Organization: Udemy, Coursera (Machine Learning, Deep Learning)
Personal Profile
Father's Name :Mr. Tirlok w
Language Knon : English & Hindi
Marital Status :Single
Date of Birth(Gender):1993-12-20(YYYY-MM-DD) (F)
company - wipro
description - Developing programs in Python.
company - wipro
description - Title : wipro Neural Intelligence Platform
Team Size : 5
Brief: wipro's Neural Intelligence Platform harnesses the poer of automation and artificial intelligence
technologies: natural language processing (NLP), cognitive, machine learning, and analytics. The platform
comprises three layers: a data engagement platform that can easily access and manage multiple structured and
unstructured data sources; an  intent assessment and reasoning  engine that includes sentiment and predictive
analytics; and a deep machine learning engine that can sense, act, and learn over time. The project entailed
automating responses to user queries at the earliest. The Monster Bot using the poer of Deep Machine Learning,
NLP to handle such queries. User can see the ho their queries can be ansered quickly like allL1 activities can be
eliminated.
Entity Extractor -> This involves text extraction and NLP for fetching out important information from the text like
dates, names, places, contact numbers etc. This involves Regex, Bluemix NLU api's and machine learning using
Tensor flo for further learning of ne entities.
Classifier ->This involves the classifications of classes, training of dataset and predicting the output using the SKLearn
classifier (MNB, SVM, SGD as Classifier) and SGD for the optimization to map the user queries ith the best
suited response and make the system efficient.
NER: A Deep Learning NER Model is trained to extract the entities from the text. Entities like Roles, Skills,
Organizations can be extracted from ra text. RNN(LSTM) Bidirectional model is trained for extracting such entities
using Keras TensorFlo frameork.
company - wipro Technologies
description - An IT professional ith knoledge and experience of 2 years in wipro Technologies in Machine
Learning, Deep Learning, Data Science, Python, Softare Development.
 Skilled in managing end-to-end development and softare products / projects from inception, requirement
specs, planning, designing, implementation, configuration and documentation.
 Knoledge on Python , Machine Learning, Deep Learning, data Science, Algorithms, Neural Netork,
NLP, GCP.
 Knoledge on Python Libraries like Numpy, Pandas, Seaborn , Matplotlib, Cufflinks.
 Knoledge on different algorithms in Machine learning like KNN, Decision Tree, Bias variance Trade off,
Support vector Machine(SVM),Logistic Regression, Neural netorks.
 Have knoledge on unsupervised, Supervised and reinforcement data.
 Programming experience in relational platforms like MySQL,Oracle.
 Have knoledge on Some programming language like C++,Java.
 Experience in cloud based environment like Google Cloud.
 orking on different Operating System like Linux, Ubuntu, indos.
 Good interpersonal and communication skills.
 Problem solving skills ith the ability to think laterally, and to think ith a medium term and long term
perspective
 Flexibility and an open attitude to change.
 Ability to create, define and on frameorks ith a strong emphasis on code reusability."
